59
перчатка: [{'латексный': 22134}, {'смотровой': 21413}, {'хирургический': 20182}, {'нестерильный': 15347}, {'неопудрить': 15047}, {'стерильный': 14411}, {'размер м': 10503}, {'нитриловый': 8992}, {'размер s': 7211}, {'размер l': 6916}, {'опудрить': 6416}, {'медицинский': 4791}, {'текстурированный': 4167}, {'диагностический': 3685}, {'pf': 3186}, {'размер 7': 3117}, {'повышенный': 2831}, {'размер 8': 2694}, {'резиновый': 2677}, {'хлопчатобумажный': 2569}, {'7': 2492}, {'пара': 2419}, {'стереть': 2351}, {'8': 2327}, {'хозяйственный': 2008}, {'анатомический': 1925}, {'малайзия': 1844}, {'прочность': 1786}, {'покрытие': 1784}, {'пвх': 1507}, {'одноразовый': 1472}, {'gammex': 1460}, {'manual': 1410}, {'размер 7,5': 1406}, {'россия': 1273}, {'форма': 1242}, {'dermagrip': 1234}, {'6': 1126}, {'виниловый': 1114}, {'синтетический': 1070}, {'7,5': 952}, {'неопреновый': 940}, {'50': 925}, {'р м': 908}, {'epic': 848}, {'австрия': 842}, {'размер 6': 778}, {'grip': 765}, {'размер 6,5': 741}, {'sfm': 736}, {'9': 727}, {'eco': 709}, {'внутренний': 708}, {'германия': 707}, {'medi': 700}, {'удлинённый': 685}, {'натуральный': 668}, {'1': 645}]
неопреновый: [{'перчатка': 940}, {'латексный': 38}, {'смотровой': 221}, {'хирургический': 547}, {'нестерильный': 129}, {'неопудрить': 263}, {'стерильный': 373}, {'размер м': 120}, {'нитриловый': 9}, {'размер s': 80}, {'размер l': 67}, {'опудрить': 34}, {'медицинский': 53}, {'текстурированный': 50}, {'диагностический': 32}, {'pf': 104}, {'размер 7': 89}, {'повышенный': 32}, {'размер 8': 73}, {'резиновый': 1}, {'хлопчатобумажный': 1}, {'7': 35}, {'пара': 16}, {'стереть': 34}, {'8': 42}, {'хозяйственный': 0}, {'анатомический': 14}, {'малайзия': 41}, {'прочность': 2}, {'покрытие': 7}, {'пвх': 2}, {'одноразовый': 7}, {'gammex': 113}, {'manual': 38}, {'размер 7,5': 43}, {'россия': 18}, {'форма': 11}, {'dermagrip': 7}, {'6': 11}, {'виниловый': 0}, {'синтетический': 50}, {'7,5': 19}, {'50': 4}, {'р м': 9}, {'epic': 0}, {'австрия': 6}, {'размер 6': 9}, {'grip': 4}, {'размер 6,5': 13}, {'sfm': 29}, {'9': 22}, {'eco': 0}, {'внутренний': 1}, {'германия': 12}, {'medi': 4}, {'удлинённый': 9}, {'натуральный': 0}, {'1': 1}]
50: [{'перчатка': 933}, {'латексный': 394}, {'смотровой': 399}, {'хирургический': 167}, {'нестерильный': 392}, {'неопудрить': 326}, {'стерильный': 87}, {'размер м': 182}, {'нитриловый': 187}, {'размер s': 180}, {'размер l': 153}, {'опудрить': 107}, {'медицинский': 45}, {'текстурированный': 221}, {'диагностический': 50}, {'pf': 35}, {'размер 7': 25}, {'повышенный': 11}, {'размер 8': 12}, {'резиновый': 4}, {'хлопчатобумажный': 6}, {'7': 22}, {'пара': 630}, {'стереть': 92}, {'8': 17}, {'хозяйственный': 7}, {'анатомический': 53}, {'малайзия': 17}, {'прочность': 5}, {'покрытие': 9}, {'пвх': 8}, {'одноразовый': 46}, {'gammex': 2}, {'manual': 23}, {'размер 7,5': 5}, {'россия': 6}, {'форма': 29}, {'dermagrip': 30}, {'6': 14}, {'виниловый': 24}, {'синтетический': 5}, {'7,5': 12}, {'неопреновый': 4}, {'р м': 54}, {'epic': 7}, {'австрия': 19}, {'размер 6': 2}, {'grip': 18}, {'размер 6,5': 7}, {'sfm': 49}, {'9': 5}, {'eco': 5}, {'внутренний': 0}, {'германия': 7}, {'medi': 0}, {'удлинённый': 0}, {'натуральный': 9}, {'1': 17}]
р м: [{'перчатка': 915}, {'латексный': 326}, {'смотровой': 572}, {'хирургический': 34}, {'нестерильный': 383}, {'неопудрить': 286}, {'стерильный': 103}, {'размер м': 0}, {'нитриловый': 235}, {'размер s': 6}, {'размер l': 11}, {'опудрить': 89}, {'медицинский': 50}, {'текстурированный': 104}, {'диагностический': 64}, {'pf': 21}, {'размер 7': 0}, {'повышенный': 47}, {'размер 8': 0}, {'резиновый': 25}, {'хлопчатобумажный': 11}, {'7': 24}, {'пара': 80}, {'стереть': 25}, {'8': 18}, {'хозяйственный': 17}, {'анатомический': 2}, {'малайзия': 20}, {'прочность': 41}, {'покрытие': 11}, {'пвх': 1}, {'одноразовый': 28}, {'gammex': 0}, {'manual': 25}, {'размер 7,5': 0}, {'россия': 19}, {'форма': 3}, {'dermagrip': 22}, {'6': 1}, {'виниловый': 40}, {'синтетический': 11}, {'7,5': 1}, {'неопреновый': 9}, {'50': 54}, {'epic': 3}, {'австрия': 9}, {'размер 6': 0}, {'grip': 4}, {'размер 6,5': 0}, {'sfm': 16}, {'9': 0}, {'eco': 15}, {'внутренний': 5}, {'германия': 4}, {'medi': 0}, {'удлинённый': 7}, {'натуральный': 2}, {'1': 12}]
epic: [{'перчатка': 859}, {'латексный': 404}, {'смотровой': 208}, {'хирургический': 530}, {'нестерильный': 6}, {'неопудрить': 241}, {'стерильный': 517}, {'размер м': 116}, {'нитриловый': 7}, {'размер s': 53}, {'размер l': 52}, {'опудрить': 167}, {'медицинский': 30}, {'текстурированный': 26}, {'диагностический': 14}, {'pf': 378}, {'размер 7': 93}, {'повышенный': 0}, {'размер 8': 90}, {'резиновый': 0}, {'хлопчатобумажный': 0}, {'7': 36}, {'пара': 61}, {'стереть': 99}, {'8': 35}, {'хозяйственный': 0}, {'анатомический': 40}, {'малайзия': 0}, {'прочность': 0}, {'покрытие': 0}, {'пвх': 0}, {'одноразовый': 3}, {'gammex': 0}, {'manual': 0}, {'размер 7,5': 56}, {'россия': 17}, {'форма': 23}, {'dermagrip': 0}, {'6': 16}, {'виниловый': 0}, {'синтетический': 0}, {'7,5': 19}, {'неопреновый': 0}, {'50': 7}, {'р м': 3}, {'австрия': 131}, {'размер 6': 21}, {'grip': 0}, {'размер 6,5': 29}, {'sfm': 0}, {'9': 10}, {'eco': 0}, {'внутренний': 0}, {'германия': 0}, {'medi': 0}, {'удлинённый': 1}, {'натуральный': 5}, {'1': 4}]
австрия: [{'перчатка': 844}, {'латексный': 259}, {'смотровой': 499}, {'хирургический': 244}, {'нестерильный': 184}, {'неопудрить': 163}, {'стерильный': 186}, {'размер м': 307}, {'нитриловый': 218}, {'размер s': 137}, {'размер l': 118}, {'опудрить': 84}, {'медицинский': 69}, {'текстурированный': 33}, {'диагностический': 21}, {'pf': 90}, {'размер 7': 50}, {'повышенный': 23}, {'размер 8': 41}, {'резиновый': 2}, {'хлопчатобумажный': 0}, {'7': 22}, {'пара': 26}, {'стереть': 15}, {'8': 23}, {'хозяйственный': 0}, {'анатомический': 41}, {'малайзия': 14}, {'прочность': 12}, {'покрытие': 3}, {'пвх': 0}, {'одноразовый': 12}, {'gammex': 0}, {'manual': 190}, {'размер 7,5': 25}, {'россия': 5}, {'форма': 27}, {'dermagrip': 3}, {'6': 5}, {'виниловый': 51}, {'синтетический': 2}, {'7,5': 7}, {'неопреновый': 6}, {'50': 19}, {'р м': 9}, {'epic': 131}, {'размер 6': 13}, {'grip': 0}, {'размер 6,5': 12}, {'sfm': 0}, {'9': 7}, {'eco': 126}, {'внутренний': 3}, {'германия': 8}, {'medi': 0}, {'удлинённый': 8}, {'натуральный': 0}, {'1': 5}]
размер 6: [{'перчатка': 783}, {'латексный': 359}, {'смотровой': 102}, {'хирургический': 556}, {'нестерильный': 188}, {'неопудрить': 179}, {'стерильный': 392}, {'размер м': 3}, {'нитриловый': 34}, {'размер s': 72}, {'размер l': 0}, {'опудрить': 144}, {'медицинский': 71}, {'текстурированный': 41}, {'диагностический': 12}, {'pf': 57}, {'размер 7': 0}, {'повышенный': 16}, {'размер 8': 0}, {'резиновый': 7}, {'хлопчатобумажный': 0}, {'7': 83}, {'пара': 9}, {'стереть': 5}, {'8': 23}, {'хозяйственный': 0}, {'анатомический': 43}, {'малайзия': 25}, {'прочность': 3}, {'покрытие': 19}, {'пвх': 1}, {'одноразовый': 7}, {'gammex': 36}, {'manual': 2}, {'размер 7,5': 0}, {'россия': 25}, {'форма': 45}, {'dermagrip': 1}, {'6': 0}, {'виниловый': 5}, {'синтетический': 12}, {'7,5': 10}, {'неопреновый': 9}, {'50': 2}, {'р м': 0}, {'epic': 21}, {'австрия': 13}, {'grip': 20}, {'размер 6,5': 0}, {'sfm': 5}, {'9': 14}, {'eco': 8}, {'внутренний': 13}, {'германия': 6}, {'medi': 20}, {'удлинённый': 5}, {'натуральный': 6}, {'1': 10}]
grip: [{'перчатка': 770}, {'латексный': 237}, {'смотровой': 13}, {'хирургический': 677}, {'нестерильный': 28}, {'неопудрить': 118}, {'стерильный': 374}, {'размер м': 16}, {'нитриловый': 5}, {'размер s': 13}, {'размер l': 10}, {'опудрить': 130}, {'медицинский': 42}, {'текстурированный': 45}, {'диагностический': 0}, {'pf': 299}, {'размер 7': 89}, {'повышенный': 0}, {'размер 8': 77}, {'резиновый': 0}, {'хлопчатобумажный': 0}, {'7': 35}, {'пара': 56}, {'стереть': 133}, {'8': 30}, {'хозяйственный': 0}, {'анатомический': 3}, {'малайзия': 49}, {'прочность': 0}, {'покрытие': 1}, {'пвх': 0}, {'одноразовый': 4}, {'gammex': 3}, {'manual': 0}, {'размер 7,5': 34}, {'россия': 0}, {'форма': 3}, {'dermagrip': 0}, {'6': 12}, {'виниловый': 0}, {'синтетический': 1}, {'7,5': 20}, {'неопреновый': 4}, {'50': 18}, {'р м': 4}, {'epic': 0}, {'австрия': 0}, {'размер 6': 20}, {'размер 6,5': 20}, {'sfm': 3}, {'9': 6}, {'eco': 0}, {'внутренний': 1}, {'германия': 1}, {'medi': 681}, {'удлинённый': 0}, {'натуральный': 10}, {'1': 6}]
размер 6,5: [{'перчатка': 743}, {'латексный': 337}, {'смотровой': 33}, {'хирургический': 658}, {'нестерильный': 32}, {'неопудрить': 246}, {'стерильный': 472}, {'размер м': 4}, {'нитриловый': 14}, {'размер s': 28}, {'размер l': 0}, {'опудрить': 97}, {'медицинский': 56}, {'текстурированный': 35}, {'диагностический': 6}, {'pf': 78}, {'размер 7': 0}, {'повышенный': 20}, {'размер 8': 0}, {'резиновый': 1}, {'хлопчатобумажный': 1}, {'7': 19}, {'пара': 9}, {'стереть': 8}, {'8': 10}, {'хозяйственный': 0}, {'анатомический': 34}, {'малайзия': 35}, {'прочность': 5}, {'покрытие': 22}, {'пвх': 0}, {'одноразовый': 12}, {'gammex': 39}, {'manual': 0}, {'размер 7,5': 0}, {'россия': 13}, {'форма': 31}, {'dermagrip': 0}, {'6': 0}, {'виниловый': 2}, {'синтетический': 18}, {'7,5': 21}, {'неопреновый': 13}, {'50': 7}, {'р м': 0}, {'epic': 29}, {'австрия': 12}, {'размер 6': 0}, {'grip': 20}, {'sfm': 8}, {'9': 2}, {'eco': 0}, {'внутренний': 19}, {'германия': 14}, {'medi': 20}, {'удлинённый': 9}, {'натуральный': 11}, {'1': 4}]
sfm: [{'перчатка': 736}, {'латексный': 336}, {'смотровой': 293}, {'хирургический': 245}, {'нестерильный': 341}, {'неопудрить': 249}, {'стерильный': 148}, {'размер м': 142}, {'нитриловый': 148}, {'размер s': 109}, {'размер l': 99}, {'опудрить': 144}, {'медицинский': 204}, {'текстурированный': 142}, {'диагностический': 73}, {'pf': 2}, {'размер 7': 30}, {'повышенный': 25}, {'размер 8': 23}, {'резиновый': 0}, {'хлопчатобумажный': 0}, {'7': 74}, {'пара': 77}, {'стереть': 63}, {'8': 82}, {'хозяйственный': 0}, {'анатомический': 59}, {'малайзия': 0}, {'прочность': 26}, {'покрытие': 5}, {'пвх': 0}, {'одноразовый': 41}, {'gammex': 0}, {'manual': 0}, {'размер 7,5': 15}, {'россия': 0}, {'форма': 16}, {'dermagrip': 2}, {'6': 35}, {'виниловый': 17}, {'синтетический': 19}, {'7,5': 18}, {'неопреновый': 29}, {'50': 49}, {'р м': 16}, {'epic': 0}, {'австрия': 0}, {'размер 6': 5}, {'grip': 3}, {'размер 6,5': 8}, {'9': 31}, {'eco': 0}, {'внутренний': 0}, {'германия': 309}, {'medi': 0}, {'удлинённый': 7}, {'натуральный': 2}, {'1': 11}]
9: [{'перчатка': 727}, {'латексный': 266}, {'смотровой': 202}, {'хирургический': 244}, {'нестерильный': 242}, {'неопудрить': 158}, {'стерильный': 153}, {'размер м': 22}, {'нитриловый': 67}, {'размер s': 12}, {'размер l': 222}, {'опудрить': 73}, {'медицинский': 49}, {'текстурированный': 67}, {'диагностический': 41}, {'pf': 16}, {'размер 7': 1}, {'повышенный': 16}, {'размер 8': 76}, {'резиновый': 23}, {'хлопчатобумажный': 10}, {'7': 45}, {'пара': 17}, {'стереть': 45}, {'8': 260}, {'хозяйственный': 13}, {'анатомический': 44}, {'малайзия': 12}, {'прочность': 13}, {'покрытие': 7}, {'пвх': 4}, {'одноразовый': 11}, {'gammex': 9}, {'manual': 6}, {'размер 7,5': 0}, {'россия': 13}, {'форма': 18}, {'dermagrip': 6}, {'6': 36}, {'виниловый': 5}, {'синтетический': 4}, {'7,5': 27}, {'неопреновый': 22}, {'50': 5}, {'р м': 0}, {'epic': 10}, {'австрия': 7}, {'размер 6': 14}, {'grip': 6}, {'размер 6,5': 2}, {'sfm': 31}, {'eco': 4}, {'внутренний': 0}, {'германия': 27}, {'medi': 5}, {'удлинённый': 3}, {'натуральный': 5}, {'1': 5}]
eco: [{'перчатка': 723}, {'латексный': 320}, {'смотровой': 573}, {'хирургический': 126}, {'нестерильный': 361}, {'неопудрить': 111}, {'стерильный': 9}, {'размер м': 191}, {'нитриловый': 248}, {'размер s': 134}, {'размер l': 102}, {'опудрить': 152}, {'медицинский': 34}, {'текстурированный': 37}, {'диагностический': 42}, {'pf': 100}, {'размер 7': 30}, {'повышенный': 13}, {'размер 8': 26}, {'резиновый': 3}, {'хлопчатобумажный': 0}, {'7': 14}, {'пара': 30}, {'стереть': 0}, {'8': 10}, {'хозяйственный': 0}, {'анатомический': 43}, {'малайзия': 4}, {'прочность': 0}, {'покрытие': 0}, {'пвх': 0}, {'одноразовый': 5}, {'gammex': 0}, {'manual': 0}, {'размер 7,5': 3}, {'россия': 0}, {'форма': 37}, {'dermagrip': 0}, {'6': 7}, {'виниловый': 0}, {'синтетический': 5}, {'7,5': 1}, {'неопреновый': 0}, {'50': 5}, {'р м': 15}, {'epic': 0}, {'австрия': 126}, {'размер 6': 8}, {'grip': 0}, {'размер 6,5': 0}, {'sfm': 0}, {'9': 4}, {'внутренний': 0}, {'германия': 1}, {'medi': 0}, {'удлинённый': 0}, {'натуральный': 1}, {'1': 6}]
внутренний: [{'перчатка': 709}, {'латексный': 306}, {'смотровой': 107}, {'хирургический': 475}, {'нестерильный': 61}, {'неопудрить': 248}, {'стерильный': 78}, {'размер м': 70}, {'нитриловый': 98}, {'размер s': 46}, {'размер l': 34}, {'опудрить': 50}, {'медицинский': 13}, {'текстурированный': 2}, {'диагностический': 44}, {'pf': 61}, {'размер 7': 71}, {'повышенный': 1}, {'размер 8': 60}, {'резиновый': 23}, {'хлопчатобумажный': 48}, {'7': 17}, {'пара': 7}, {'стереть': 5}, {'8': 12}, {'хозяйственный': 29}, {'анатомический': 3}, {'малайзия': 24}, {'прочность': 1}, {'покрытие': 597}, {'пвх': 2}, {'одноразовый': 6}, {'gammex': 60}, {'manual': 3}, {'размер 7,5': 42}, {'россия': 1}, {'форма': 3}, {'dermagrip': 0}, {'6': 4}, {'виниловый': 13}, {'синтетический': 139}, {'7,5': 11}, {'неопреновый': 1}, {'50': 0}, {'р м': 5}, {'epic': 0}, {'австрия': 3}, {'размер 6': 13}, {'grip': 1}, {'размер 6,5': 19}, {'sfm': 0}, {'9': 0}, {'eco': 0}, {'германия': 0}, {'medi': 1}, {'удлинённый': 2}, {'натуральный': 8}, {'1': 4}]
германия: [{'перчатка': 709}, {'латексный': 276}, {'смотровой': 187}, {'хирургический': 244}, {'нестерильный': 221}, {'неопудрить': 177}, {'стерильный': 174}, {'размер м': 120}, {'нитриловый': 79}, {'размер s': 87}, {'размер l': 90}, {'опудрить': 112}, {'медицинский': 166}, {'текстурированный': 68}, {'диагностический': 79}, {'pf': 24}, {'размер 7': 32}, {'повышенный': 26}, {'размер 8': 33}, {'резиновый': 3}, {'хлопчатобумажный': 2}, {'7': 73}, {'пара': 24}, {'стереть': 30}, {'8': 78}, {'хозяйственный': 0}, {'анатомический': 18}, {'малайзия': 43}, {'прочность': 27}, {'покрытие': 0}, {'пвх': 1}, {'одноразовый': 12}, {'gammex': 2}, {'manual': 2}, {'размер 7,5': 19}, {'россия': 15}, {'форма': 8}, {'dermagrip': 2}, {'6': 32}, {'виниловый': 21}, {'синтетический': 10}, {'7,5': 19}, {'неопреновый': 12}, {'50': 7}, {'р м': 4}, {'epic': 0}, {'австрия': 8}, {'размер 6': 6}, {'grip': 1}, {'размер 6,5': 14}, {'sfm': 309}, {'9': 27}, {'eco': 1}, {'внутренний': 0}, {'medi': 1}, {'удлинённый': 6}, {'натуральный': 2}, {'1': 18}]
medi: [{'перчатка': 705}, {'латексный': 229}, {'смотровой': 1}, {'хирургический': 656}, {'нестерильный': 0}, {'неопудрить': 108}, {'стерильный': 364}, {'размер м': 0}, {'нитриловый': 0}, {'размер s': 3}, {'размер l': 0}, {'опудрить': 127}, {'медицинский': 38}, {'текстурированный': 19}, {'диагностический': 0}, {'pf': 278}, {'размер 7': 90}, {'повышенный': 0}, {'размер 8': 79}, {'резиновый': 0}, {'хлопчатобумажный': 0}, {'7': 31}, {'пара': 54}, {'стереть': 127}, {'8': 24}, {'хозяйственный': 0}, {'анатомический': 3}, {'малайзия': 49}, {'прочность': 0}, {'покрытие': 1}, {'пвх': 0}, {'одноразовый': 1}, {'gammex': 1}, {'manual': 0}, {'размер 7,5': 34}, {'россия': 0}, {'форма': 3}, {'dermagrip': 0}, {'6': 11}, {'виниловый': 0}, {'синтетический': 1}, {'7,5': 21}, {'неопреновый': 4}, {'50': 0}, {'р м': 0}, {'epic': 0}, {'австрия': 0}, {'размер 6': 20}, {'grip': 681}, {'размер 6,5': 20}, {'sfm': 0}, {'9': 5}, {'eco': 0}, {'внутренний': 1}, {'германия': 1}, {'удлинённый': 0}, {'натуральный': 10}, {'1': 3}]
удлинённый: [{'перчатка': 685}, {'латексный': 144}, {'смотровой': 312}, {'хирургический': 169}, {'нестерильный': 151}, {'неопудрить': 125}, {'стерильный': 177}, {'размер м': 160}, {'нитриловый': 297}, {'размер s': 91}, {'размер l': 94}, {'опудрить': 32}, {'медицинский': 19}, {'текстурированный': 39}, {'диагностический': 48}, {'pf': 11}, {'размер 7': 33}, {'повышенный': 156}, {'размер 8': 32}, {'резиновый': 13}, {'хлопчатобумажный': 0}, {'7': 21}, {'пара': 5}, {'стереть': 23}, {'8': 20}, {'хозяйственный': 6}, {'анатомический': 9}, {'малайзия': 7}, {'прочность': 149}, {'покрытие': 1}, {'пвх': 0}, {'одноразовый': 2}, {'gammex': 0}, {'manual': 35}, {'размер 7,5': 19}, {'россия': 15}, {'форма': 9}, {'dermagrip': 4}, {'6': 6}, {'виниловый': 0}, {'синтетический': 16}, {'7,5': 10}, {'неопреновый': 9}, {'50': 0}, {'р м': 7}, {'epic': 1}, {'австрия': 8}, {'размер 6': 5}, {'grip': 0}, {'размер 6,5': 9}, {'sfm': 7}, {'9': 3}, {'eco': 0}, {'внутренний': 2}, {'германия': 6}, {'medi': 0}, {'натуральный': 9}, {'1': 0}]
натуральный: [{'перчатка': 677}, {'латексный': 623}, {'смотровой': 218}, {'хирургический': 230}, {'нестерильный': 168}, {'неопудрить': 187}, {'стерильный': 247}, {'размер м': 104}, {'нитриловый': 9}, {'размер s': 71}, {'размер l': 81}, {'опудрить': 160}, {'медицинский': 52}, {'текстурированный': 40}, {'диагностический': 177}, {'pf': 12}, {'размер 7': 33}, {'повышенный': 20}, {'размер 8': 38}, {'резиновый': 24}, {'хлопчатобумажный': 5}, {'7': 18}, {'пара': 21}, {'стереть': 2}, {'8': 14}, {'хозяйственный': 9}, {'анатомический': 9}, {'малайзия': 25}, {'прочность': 15}, {'покрытие': 5}, {'пвх': 1}, {'одноразовый': 7}, {'gammex': 1}, {'manual': 0}, {'размер 7,5': 11}, {'россия': 4}, {'форма': 10}, {'dermagrip': 4}, {'6': 7}, {'виниловый': 1}, {'синтетический': 3}, {'7,5': 4}, {'неопреновый': 0}, {'50': 9}, {'р м': 2}, {'epic': 5}, {'австрия': 0}, {'размер 6': 6}, {'grip': 10}, {'размер 6,5': 11}, {'sfm': 2}, {'9': 5}, {'eco': 1}, {'внутренний': 8}, {'германия': 2}, {'medi': 10}, {'удлинённый': 9}, {'1': 0}]
1: [{'перчатка': 648}, {'латексный': 248}, {'смотровой': 201}, {'хирургический': 180}, {'нестерильный': 155}, {'неопудрить': 134}, {'стерильный': 83}, {'размер м': 82}, {'нитриловый': 61}, {'размер s': 76}, {'размер l': 48}, {'опудрить': 62}, {'медицинский': 60}, {'текстурированный': 77}, {'диагностический': 35}, {'pf': 9}, {'размер 7': 19}, {'повышенный': 4}, {'размер 8': 26}, {'резиновый': 26}, {'хлопчатобумажный': 10}, {'7': 18}, {'пара': 220}, {'стереть': 100}, {'8': 16}, {'хозяйственный': 16}, {'анатомический': 55}, {'малайзия': 26}, {'прочность': 3}, {'покрытие': 7}, {'пвх': 10}, {'одноразовый': 17}, {'gammex': 5}, {'manual': 4}, {'размер 7,5': 3}, {'россия': 36}, {'форма': 0}, {'dermagrip': 15}, {'6': 10}, {'виниловый': 4}, {'синтетический': 2}, {'7,5': 6}, {'неопреновый': 1}, {'50': 17}, {'р м': 12}, {'epic': 4}, {'австрия': 5}, {'размер 6': 10}, {'grip': 6}, {'размер 6,5': 4}, {'sfm': 11}, {'9': 5}, {'eco': 6}, {'внутренний': 4}, {'германия': 18}, {'medi': 3}, {'удлинённый': 0}, {'натуральный': 0}]
